steam_id,alias
STEAM_0:1:18504112,Trollmannen
STEAM_0:1:1895232,Epsilon Mike
STEAM_0:1:8366654,Epsilon GeaR
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:4541761,kukkye
STEAM_0:1:1524315,kaidus
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:8589161,BeaVerN
STEAM_0:1:12124893,Epsilon KnOxXx
STEAM_0:1:15127337,Got a copy of ns2 who wants it?
STEAM_0:1:18696761,Darn!
STEAM_0:1:1895232,Epsilon Mike
STEAM_0:1:16347045,Epsilon numlocked
STEAM_0:1:18504112,Trollmannen
STEAM_0:1:8366654,Epsilon GeaR
STEAM_0:0:2829363,stefaaan /inactive
STEAM_0:0:18759410,Blockᵀᴳ
STEAM_0:1:24710872,360 masta
STEAM_0:0:42857125,Takeo
STEAM_0:0:42651671,kace
STEAM_0:1:28197848,Avast is RIGHTING
STEAM_0:1:1272481,Abstand
STEAM_0:1:24365069,Joshin
STEAM_0:0:29017215,a duck
