steam_id1,steam_id2,count
STEAM_0:0:26605378,STEAM_0:1:18801756,1
STEAM_0:0:26605378,STEAM_0:0:16327666,1
STEAM_0:0:26605378,STEAM_0:0:513478,1
STEAM_0:0:26605378,STEAM_0:0:20071403,1
STEAM_0:1:40009526,STEAM_0:0:24507746,4
STEAM_0:1:40009526,STEAM_0:0:20071403,1
STEAM_0:1:39028131,STEAM_0:0:24507746,1
STEAM_0:1:39028131,STEAM_0:0:513478,1
STEAM_0:1:39028131,STEAM_0:0:20071403,1
STEAM_0:0:24507746,STEAM_0:0:20071403,1
STEAM_0:1:18801756,STEAM_0:0:513478,1
STEAM_0:1:18801756,STEAM_0:0:20071403,1
STEAM_0:0:16327666,STEAM_0:0:513478,1
STEAM_0:0:16327666,STEAM_0:0:20071403,1
STEAM_0:0:513478,STEAM_0:0:20071403,1
STEAM_0:1:20858363,STEAM_0:1:26550435,1
STEAM_0:1:20858363,STEAM_0:1:30934395,1
STEAM_0:1:20858363,STEAM_0:0:17084958,1
STEAM_0:1:20858363,STEAM_0:0:42946488,1
STEAM_0:1:20858363,STEAM_0:1:34764803,1
STEAM_0:1:20858363,STEAM_0:1:22546276,1
STEAM_0:1:20858363,STEAM_0:0:45288553,1
STEAM_0:1:20858363,STEAM_0:0:40963328,1
STEAM_0:1:20858363,STEAM_0:1:31226117,1
STEAM_0:1:20858363,STEAM_0:0:41794979,1
STEAM_0:1:20858363,STEAM_0:0:5556948,1
STEAM_0:1:26550435,STEAM_0:1:30934395,1
STEAM_0:1:26550435,STEAM_0:0:17084958,1
STEAM_0:1:26550435,STEAM_0:0:42946488,1
STEAM_0:1:26550435,STEAM_0:1:34764803,1
STEAM_0:1:26550435,STEAM_0:1:22546276,1
STEAM_0:1:26550435,STEAM_0:0:45288553,1
STEAM_0:1:26550435,STEAM_0:0:40963328,1
STEAM_0:1:26550435,STEAM_0:1:31226117,1
STEAM_0:1:26550435,STEAM_0:0:41794979,1
STEAM_0:1:26550435,STEAM_0:0:5556948,1
STEAM_0:1:30934395,STEAM_0:0:17084958,1
STEAM_0:1:30934395,STEAM_0:0:42946488,1
STEAM_0:1:30934395,STEAM_0:1:34764803,1
STEAM_0:1:30934395,STEAM_0:1:22546276,1
STEAM_0:1:30934395,STEAM_0:0:45288553,1
STEAM_0:1:30934395,STEAM_0:0:40963328,1
STEAM_0:1:30934395,STEAM_0:1:31226117,1
STEAM_0:1:30934395,STEAM_0:0:41794979,1
STEAM_0:1:30934395,STEAM_0:0:5556948,1
STEAM_0:0:17084958,STEAM_0:0:42946488,1
STEAM_0:0:17084958,STEAM_0:1:34764803,1
STEAM_0:0:17084958,STEAM_0:1:22546276,1
STEAM_0:0:17084958,STEAM_0:0:45288553,1
STEAM_0:0:17084958,STEAM_0:0:40963328,1
STEAM_0:0:17084958,STEAM_0:1:31226117,1
STEAM_0:0:17084958,STEAM_0:0:41794979,1
STEAM_0:0:17084958,STEAM_0:0:5556948,1
STEAM_0:0:42946488,STEAM_0:1:34764803,1
STEAM_0:0:42946488,STEAM_0:1:22546276,1
STEAM_0:0:42946488,STEAM_0:0:45288553,1
STEAM_0:0:42946488,STEAM_0:0:40963328,1
STEAM_0:0:42946488,STEAM_0:1:31226117,1
STEAM_0:0:42946488,STEAM_0:0:41794979,1
STEAM_0:0:42946488,STEAM_0:0:5556948,1
STEAM_0:1:34764803,STEAM_0:1:22546276,1
STEAM_0:1:34764803,STEAM_0:0:45288553,1
STEAM_0:1:34764803,STEAM_0:0:40963328,1
STEAM_0:1:34764803,STEAM_0:1:31226117,1
STEAM_0:1:34764803,STEAM_0:0:41794979,1
STEAM_0:1:34764803,STEAM_0:0:5556948,1
STEAM_0:1:22546276,STEAM_0:0:45288553,1
STEAM_0:1:22546276,STEAM_0:0:40963328,1
STEAM_0:1:22546276,STEAM_0:1:31226117,1
